Messung Menge
0   0
100	20
200	26
300	30
400	35
500	40
600	42
700	44
800	46
900	50
1000	51
1100    56
1200    56
1300    59
1400    60
1500    63
1600    66
1700    67
1800    69
1900    71
2000    73
